proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5,proba_class_6,proba_class_7,proba_class_8,proba_class_9,proba_class_10,proba_class_11,target
0.008749,0.136191,0.340916,0.32021,0.193059,0.000875,0.006489,0.11788,0.281903,0.320115,0.272531,0.001081,1
0.024368,0.227231,0.326226,0.248858,0.172403,0.000914,0.022693,0.159598,0.338542,0.247024,0.232143,0.0,1
0.026082,0.194132,0.341434,0.261114,0.176941,0.000296,0.016955,0.140693,0.295094,0.283911,0.263348,0.0,1
0.00544,0.115745,0.327894,0.322756,0.227561,0.000604,0.005167,0.100954,0.282591,0.307631,0.300079,0.003577,1
0.008132,0.135347,0.336625,0.32007,0.199535,0.00029,0.008226,0.130186,0.288627,0.294349,0.278255,0.000358,1
0.007596,0.123284,0.312007,0.337131,0.21823,0.001753,0.006553,0.089916,0.314525,0.311977,0.274481,0.002548,1
0.005891,0.110162,0.318704,0.342268,0.22268,0.000295,0.004061,0.089332,0.29199,0.31746,0.295681,0.001477,1
0.025587,0.207405,0.330524,0.266406,0.169476,0.000602,0.02052,0.150971,0.327226,0.264566,0.23635,0.000366,1
0.024431,0.193793,0.352261,0.245626,0.183229,0.00066,0.020467,0.169464,0.358166,0.26975,0.180516,0.001637,1
0.030711,0.221247,0.319336,0.249138,0.178941,0.000627,0.0252,0.180985,0.337915,0.252005,0.203513,0.000382,1
0.031751,0.229346,0.318434,0.254316,0.165536,0.000617,0.026196,0.193242,0.313212,0.254366,0.212225,0.000759,1
0.019538,0.192718,0.343398,0.263766,0.180284,0.000296,0.013704,0.140642,0.30256,0.283448,0.259647,0.0,1
0.029092,0.201726,0.321292,0.255435,0.191176,0.001279,0.023603,0.190795,0.335956,0.257671,0.190401,0.001574,1
0.008983,0.146914,0.327731,0.301941,0.213561,0.000869,0.010302,0.140675,0.302664,0.293428,0.252575,0.000355,1
0.014582,0.190726,0.330417,0.277924,0.185768,0.000583,0.014174,0.163359,0.316442,0.273565,0.231042,0.001417,1
0.0055,0.104797,0.304308,0.340361,0.243507,0.001528,0.005733,0.095004,0.269451,0.312039,0.316544,0.001229,1
0.019877,0.195265,0.349605,0.259573,0.17568,0.0,0.01213,0.153407,0.315733,0.276133,0.242597,0.0,1
0.017069,0.191583,0.345497,0.260153,0.185697,0.0,0.012178,0.141117,0.315186,0.280444,0.249284,0.001791,1
0.033323,0.214308,0.335371,0.242128,0.174259,0.000611,0.024087,0.183666,0.324426,0.246142,0.220926,0.000753,1
0.014493,0.169275,0.325797,0.287246,0.202899,0.00029,0.012385,0.160651,0.311748,0.287332,0.226822,0.001062,1
0.031008,0.19832,0.33301,0.261951,0.175388,0.000323,0.017935,0.189717,0.332802,0.259067,0.199681,0.000797,1
0.006082,0.143064,0.32841,0.31364,0.208225,0.000579,0.008188,0.135635,0.284799,0.302599,0.268067,0.000712,1
0.023624,0.212022,0.331041,0.263158,0.170156,0.0,0.019266,0.137405,0.309706,0.273719,0.259542,0.000364,1
0.037819,0.202962,0.327135,0.246139,0.184998,0.000945,0.025165,0.186605,0.339915,0.248161,0.198993,0.001161,1
0.019147,0.179867,0.346678,0.27125,0.182478,0.00058,0.014841,0.160071,0.313781,0.272438,0.238516,0.000353,1
0.010731,0.162123,0.326856,0.289443,0.210557,0.00029,0.00924,0.1457,0.31592,0.288202,0.240227,0.000711,1
0.027823,0.196727,0.343699,0.252373,0.178723,0.000655,0.022975,0.172914,0.358726,0.25393,0.190649,0.000806,1
0.003852,0.119407,0.311704,0.341926,0.222815,0.000296,0.004506,0.085242,0.307923,0.331581,0.268119,0.002629,1
0.018475,0.169298,0.359758,0.254619,0.196842,0.001008,0.020383,0.160982,0.357321,0.276622,0.184276,0.000416,1
0.000842,0.20893,0.663016,0.070767,0.052233,0.004212,0.000833,0.029155,0.628488,0.267389,0.070387,0.003748,2
0.0,0.174905,0.623574,0.131179,0.06749,0.002852,0.0,0.014885,0.594497,0.306721,0.082093,0.001804,2
0.000801,0.233787,0.646918,0.068855,0.042434,0.007206,0.000404,0.029863,0.646086,0.252623,0.069411,0.001614,2
0.003064,0.153218,0.596527,0.167518,0.072523,0.00715,0.00047,0.018336,0.54725,0.346497,0.083686,0.003761,2
0.002092,0.249651,0.612971,0.075314,0.05788,0.002092,0.000738,0.023976,0.687569,0.239764,0.046846,0.001107,2
0.002676,0.191793,0.645852,0.091882,0.063336,0.00446,0.0,0.013859,0.604591,0.299697,0.080554,0.001299,2
0.013191,0.31862,0.523085,0.099949,0.04414,0.001015,0.038701,0.263058,0.508796,0.152368,0.035995,0.001083,2
0.021053,0.423058,0.463659,0.059649,0.031579,0.001003,0.043422,0.243834,0.551644,0.128212,0.031603,0.001285,2
0.017597,0.402212,0.46003,0.07994,0.039216,0.001006,0.03512,0.252081,0.526015,0.153746,0.032518,0.00052,2
0.018519,0.404404,0.473974,0.064064,0.038038,0.001001,0.036711,0.247673,0.542141,0.13909,0.033351,0.001034,2
0.018154,0.374685,0.477559,0.085729,0.04236,0.001513,0.041063,0.257173,0.527244,0.141879,0.030798,0.001843,2
0.020161,0.384073,0.474294,0.077621,0.041835,0.002016,0.033752,0.25484,0.52381,0.154108,0.032705,0.000785,2
0.029862,0.262868,0.460904,0.179175,0.066012,0.001179,0.025658,0.30302,0.531341,0.107502,0.031504,0.000974,2
